Time,sst2 avg,sst2 stdev,wt avg,wt stdev,gpa1 avg,gpa1 stdev
0,1,0,1,0,1,0
5,1.136836617,0.093891474,1.072775627,0.091156705,1.057324608,0.081649937
10,1.287260363,0.173637207,1.20333602,0.149698489,1.168357116,0.145783469
15,1.46830651,0.285112972,1.355571185,0.237672082,1.295125814,0.230393424
20,1.743783615,0.372764424,1.502573083,0.328561087,1.431063874,0.320726594
25,1.969451107,0.487472934,1.681676656,0.423660031,1.614628111,0.405130275
30,2.238040313,0.61199152,1.891335835,0.515157099,1.759504841,0.499426058
35,2.562568395,0.72005169,2.093009985,0.600348589,1.891254391,0.568510477
40,2.882723592,0.845899757,2.259807195,0.684848765,2.105129522,0.688657933
45,3.173243545,0.925243865,2.475061162,0.76737933,2.268349052,0.792494754
50,3.492047487,1.030842166,2.66202205,0.830651224,2.468348993,0.890582641
55,3.777006364,1.11674734,2.895605995,0.908921268,2.635298516,0.981868046
60,4.085647941,1.204006772,3.101004554,0.980647254,2.78459101,1.034797613
65,4.371033895,1.287630415,3.285257686,1.022675862,2.946032673,1.09631276
70,4.665376285,1.377280415,3.455389805,1.056388576,3.113484736,1.170516324
75,4.850383492,1.468562867,3.652235504,1.102441069,3.314268706,1.256349346
80,5.073137537,1.514584488,3.839014902,1.139397729,3.466326984,1.311087359